episode,global_step,step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
0,1,1,30,question,0,,-0.03,False,0.0,0.26631312409802954
0,2,2,30,question,0,,1.009107377833931,True,0.0482147556678618,0.2679202826202916
0,3,3,87,question,0,,1.023766415701784,True,0.04753283140356804,0.2695047103337439
0,4,4,12,question,0,,-0.03,False,0.0,0.2695047103337439
0,5,5,12,question,0,,1.0086449394507286,True,0.047289878901456917,0.2710810396304591
0,6,6,9,question,0,,-0.045000000000000005,False,0.0,0.2710810396304591
0,7,7,9,question,0,,0.9932593481154748,True,0.04651869623094962,0.27263166283815743
0,8,8,42,question,0,,1.0082005767185778,True,0.04640115343715549,0.2741783679527293
0,9,9,69,question,0,,1.0229408533393987,True,0.04588170667879752,0.27570775817535587
0,10,10,30,question,0,,1.0229020089422343,True,0.04580401788446871,0.2772345587715048
0,11,11,0,question,0,,1.0228880521733075,True,0.045776104346615054,0.278760428916392
0,12,12,21,question,0,,1.0228803927685584,True,0.04576078553711678,0.2802857884342959
0,13,13,87,question,0,,1.0225780949166947,True,0.04515618983338963,0.28179099476207553
0,14,14,12,question,0,,1.022462692478192,True,0.04492538495638407,0.283288507593955
0,15,15,33,question,0,,1.0222890738171204,True,0.04457814763424095,0.2847744458484297
0,16,16,9,question,0,,1.022096380709701,True,0.04419276141940214,0.28624753789574314
0,17,17,42,question,0,,1.0220405478826489,True,0.044081095765297715,0.28771690775458636
0,18,18,51,question,0,,1.021808143290725,True,0.043616286581449774,0.28917078397396806
0,19,19,69,question,0,,1.021793810672429,True,0.04358762134485764,0.2906237046854633
0,20,20,78,question,0,,1.021780682206727,True,0.04356136441345422,0.29207575016591175
0,21,21,30,question,0,,1.0217569084951226,True,0.04351381699024528,0.29352621073225327
0,22,22,0,question,0,,1.0217436495646421,True,0.043487299129284306,0.2949757873698961
0,23,23,21,question,0,,1.0217363731301305,True,0.043472746260260944,0.2964248789119048
0,24,24,87,question,0,,1.02144919017086,True,0.04289838034172015,0.29785482492329546
0,25,25,12,question,0,,1.0213395578542825,True,0.04267911570856486,0.29927746211358097
0,26,26,33,question,0,,1.0211746201262644,True,0.0423492402525289,0.3006891034553319
0,27,27,9,question,0,,1.020991561674216,True,0.04198312334843204,0.30208854090027965
0,28,28,42,question,0,,1.0209385204885164,True,0.041877040977032834,0.30348444226618077
0,29,29,51,question,0,,1.0207177361261885,True,0.04143547225237729,0.3048656246745933
0,30,30,69,question,0,,1.0207041201388074,True,0.04140824027761476,0.30624589935051383
0,31,31,78,question,0,,1.0206916480963908,True,0.041383296192781506,0.30762534255693985
0,32,32,30,question,0,,1.0206690630703665,True,0.04133812614073301,0.3090032800949643
0,33,33,0,question,0,,1.02065646708641,True,0.04131293417282009,0.310380377900725
0,34,34,21,question,0,,1.020649554473624,True,0.04129910894724789,0.31175701486563323
0,35,35,87,question,0,,1.020376730662317,True,0.040753461324634144,0.31311546357645437
0,36,36,12,question,0,,1.0202725799615684,True,0.04054515992313662,0.3144669689072256
0,37,37,33,question,0,,1.0201158891199513,True,0.040231778239902455,0.315808028181889
0,38,38,9,question,0,,1.0199419835905053,True,0.03988396718101043,0.31713749375458933
0,39,39,42,question,0,,1.0198915944640905,True,0.039783188928181196,0.3184636000521954
0,40,40,81,question,0,,1.0198218433618267,True,0.039643686723653156,0.31978505627631715
0,41,41,45,question,0,,1.0197082019092987,True,0.03941640381859729,0.32109893640360376
0,42,42,51,question,0,,1.0196818493198792,True,0.03936369863975842,0.32241105969159567
0,43,43,63,question,0,,1.0196792220424529,True,0.039358444084905554,0.3237230078277592
0,44,44,69,question,0,,1.019668914131867,True,0.039337828263734026,0.32503426876988367
0,45,45,78,question,0,,1.0196570656915713,True,0.03931413138314244,0.32634473981598844
0,46,46,30,question,0,,1.0196356099168482,True,0.03927121983369636,0.32765378047711163
0,47,47,0,question,0,,1.0196236437320896,True,0.03924728746417908,0.3289620233925843
0,48,48,21,question,0,,1.0196170767499428,True,0.0392341534998855,0.33026982850924713
0,49,49,87,question,0,,1.0193578941292012,True,0.03871578825840244,0.3315603547845272
0,50,50,36,question,0,,1.0193155851980167,True,0.038631170396033206,0.33284806046439497
0,51,51,12,question,0,,1.01925895096349,True,0.03851790192697979,0.33413199052862763
0,52,52,15,question,0,,1.0191220749403371,True,0.03824414988067412,0.3354067955246501
0,53,53,33,question,0,,1.0191100946639537,True,0.03822018932790733,0.33668080183558036
0,54,54,9,question,0,,1.0189448844109799,True,0.03788976882195991,0.3379437941296457
0,55,55,3,question,0,,1.0189213861134667,True,0.03784277222693362,0.3392052198705435
0,56,56,42,question,0,,1.018897014740886,True,0.03779402948177213,0.3404650208532692
0,57,57,81,question,0,,1.0188307511937353,True,0.0376615023874705,0.3417204042661849
0,58,58,45,question,0,,-0.03,False,0.0,0.3417204042661849
0,59,59,45,question,0,,1.0037227918138338,True,0.03744558362766743,0.34296859038710714
0,60,60,51,question,0,,1.0186977568538853,True,0.0373955137077705,0.3442151075106995
0,61,61,63,question,0,,1.0186952609403301,True,0.03739052188066028,0.3454614582400548
0,62,62,69,question,0,,-0.03,False,0.0,0.3454614582400548
0,63,63,69,question,0,,1.0036854684252738,True,0.03737093685054732,0.3467071561350731
0,64,64,78,question,0,,1.0186742124069927,True,0.03734842481398531,0.3479521036288726
0,65,65,30,question,0,,1.0186538294210057,True,0.037307658842011544,0.34919569225693964
0,66,66,0,question,0,,1.018642461545485,True,0.037284923090970125,0.35043852302663864
0,67,67,21,question,0,,1.0186362229124457,True,0.03727244582489122,0.35168093788746835
0,68,68,87,question,0,,1.0183899994227412,True,0.03677999884548231,0.3529069378489844
0,69,69,36,question,0,,1.0183498059381157,True,0.036699611876231546,0.3541302582448588
0,70,70,12,question,0,,1.0182960034153155,True,0.0365920068306308,0.35534999180587984
0,71,71,48,question,0,,1.018222526624407,True,0.036445053248813884,0.3565648269141736
0,72,72,15,question,0,,1.0181659711933202,True,0.03633194238664041,0.357775891660395
0,73,73,33,question,0,,1.018154589930756,True,0.03630917986151196,0.3589861976557787
0,74,74,9,question,0,,1.017997640190431,True,0.035995280380861916,0.3601860403351408
0,75,75,3,question,0,,1.0179753168077934,True,0.03595063361558694,0.36138439478899365
0,76,76,42,question,0,,-0.03,False,0.0,0.36138439478899365
0,77,77,42,question,0,,1.002952164003842,True,0.03590432800768353,0.3625812057225831
0,78,78,81,question,0,,1.0178892136340485,True,0.03577842726809697,0.36377381996485303
0,79,79,45,question,0,,1.017786652223142,True,0.03557330444628406,0.36495959677972917
0,80,80,51,question,0,,1.017762869011191,True,0.03552573802238197,0.36614378804714187
0,81,81,63,question,0,,1.0177604978933137,True,0.03552099578662726,0.36732782124002944
0,82,82,69,question,0,,1.01775119500401,True,0.03550239000801996,0.3685112342402968
0,83,83,78,question,0,,1.017740501786643,True,0.03548100357328604,0.36969393435940634
0,84,84,30,question,0,,1.0177211379499556,True,0.03544227589991097,0.37087534355607005
0,85,85,0,question,0,,1.017710338468211,True,0.03542067693642162,0.37205603278728405
